"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","933","Ошибка при удалении курьера без ID в теле запроса","tests","2025-10-19","failed","2025-10-19","TestDeleteCourier","test_delete_courier","",""
"","390","Создание заказа с разными вариантами цвета самоката","tests","2025-10-19","passed","2025-10-19","TestCreateOrder","test_create_order","",""
"","519","Ошибка при создании курьера без обязательного поля","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"","733","Ошибка при опрваке запроса без track-номера","tests","2025-10-19","passed","2025-10-19","TestOrderByNumber","test_get_order_by_number","",""
"","444","Создание заказа с разными вариантами цвета самоката","tests","2025-10-19","passed","2025-10-19","TestCreateOrder","test_create_order","",""
"","1572","Ошибка при принятии заказа без id курьера или заказа","tests","2025-10-19","passed","2025-10-19","TestAcceptOrder","test_accept_order","",""
"","511","Правильный код ответа при создании курьера","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"","2114","Корректный ответ сервера при успешном запросе API","tests","2025-10-19","passed","2025-10-19","TestAcceptOrder","test_accept_order","",""
"","1588","Ошибка при принятии заказа с неверным id курьера или заказа","tests","2025-10-19","passed","2025-10-19","TestAcceptOrder","test_accept_order","",""
"","916","Ошибка при авторизации с неверным логином или паролем","tests","2025-10-19","passed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","645","Успешное получение заказа по номеру","tests","2025-10-19","passed","2025-10-19","TestOrderByNumber","test_get_order_by_number","",""
"","650","Нельзя создать двух одинаковых курьеров","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"","345","Ошибка при опрваке запроса без track-номера","tests","2025-10-19","passed","2025-10-19","TestOrderByNumber","test_get_order_by_number","",""
"","346","Курьера можно создать","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"Проверяем, что в ответе возвращается список заказов","7813","Получение списка заказов","tests","2025-10-19","passed","2025-10-19","TestOrderList","test_get_orders_list","",""
"","60311","Ошибка авторизации курьера без обязательного поля","tests","2025-10-19","failed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","1013","Удаление курьера — успешный сценарий","tests","2025-10-19","passed","2025-10-19","TestDeleteCourier","test_delete_courier","",""
"","471","Правильный текст ответа при создании курьера","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"","994","Ошибка при авторизации с неверным логином или паролем","tests","2025-10-19","passed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","309","Ошибка при удалении несуществующего курьера","tests","2025-10-19","passed","2025-10-19","TestDeleteCourier","test_delete_courier","",""
"","653","Авторизация курьера успешна","tests","2025-10-19","passed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","309","Ошибка авторизации курьера без обязательного поля","tests","2025-10-19","passed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","1743","Ошибка при принятии заказа без id курьера или заказа","tests","2025-10-19","failed","2025-10-19","TestAcceptOrder","test_accept_order","",""
"","310","Авторизация незарегистрированного курьера","tests","2025-10-19","passed","2025-10-19","TestLoginCourier","test_login_courier","",""
"","1670","Ошибка при принятии заказа с неверным id курьера или заказа","tests","2025-10-19","passed","2025-10-19","TestAcceptOrder","test_accept_order","",""
"","437","Ошибка при создании курьера без обязательного поля","tests","2025-10-19","passed","2025-10-19","TestCreateCourier","test_create_courier","",""
"","565","Создание заказа с разными вариантами цвета самоката","tests","2025-10-19","passed","2025-10-19","TestCreateOrder","test_create_order","",""
"","586","Создание заказа с разными вариантами цвета самоката","tests","2025-10-19","passed","2025-10-19","TestCreateOrder","test_create_order","",""
